date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:40:28	5230/5230	---M--	200	added ('OK')	text/html	etag:%227bb7e7db-146e-49d20f3cf25a0%22	http://jumpgate.co.uk/JOSSH/database/modx/oracle.html	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/modx/oracle.html	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:29	5307/5307	---M--	200	added ('OK')	text/html	etag:%22b31b05a9-14bb-49d20ee29a6c0%22	http://jumpgate.co.uk/JOSSH/database/modx/abattis.html	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/modx/abattis.html	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:29	2487/2487	---M--	200	added ('OK')	image/gif	etag:%22e00c51b7-9b7-49d20f1537740%22	http://jumpgate.co.uk/JOSSH/database/modx/media/large/item1.gif	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/modx/media/large/item1.gif	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:29	1040/1040	---M--	200	added ('OK')	image/gif	etag:%22f507a037-410-49d20f18489c0%22	http://jumpgate.co.uk/JOSSH/database/modx/media/large/item14.gif	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/modx/media/large/item14.gif	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:29	5184/5184	---M--	200	added ('OK')	text/html	etag:%22609cf1d0-1440-49d20eea36e88%22	http://jumpgate.co.uk/JOSSH/database/modx/bcu-sol.html	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/modx/bcu-sol.html	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:29	5212/5212	---M--	200	added ('OK')	text/html	etag:%224b9e570f-145c-49d20ee66e670%22	http://jumpgate.co.uk/JOSSH/database/modx/bcu-oct.html	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/modx/bcu-oct.html	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:29	2735/2735	---M--	200	added ('OK')	image/gif	etag:%2230e46c42-aaf-49d20f2499710%22	http://jumpgate.co.uk/JOSSH/database/modx/media/large/item8.gif	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/modx/media/large/item8.gif	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:30	2532/2532	---M--	200	added ('OK')	image/gif	etag:%224bcf94b8-9e4-49d20f15deef0%22	http://jumpgate.co.uk/JOSSH/database/modx/media/large/item10.gif	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/modx/media/large/item10.gif	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:30	5205/5205	---M--	200	added ('OK')	text/html	etag:%2237dcfe5c-1455-49d20ee85b140%22	http://jumpgate.co.uk/JOSSH/database/modx/bcu-quan.html	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/modx/bcu-quan.html	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:31	2722/2722	---M--	200	added ('OK')	image/gif	etag:%227be7e036-aa2-49d20f2551090%22	http://jumpgate.co.uk/JOSSH/database/modx/media/large/item9.gif	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/modx/media/large/item9.gif	(from http://jumpgate.co.uk/JOSSH/database/index.html)
